Date,Close/Last,Volume,Open,High,Low
02/25/2021,$65.854,11542168,$67.6087,$68.4861,$65.3379
02/24/2021,$67.7119,13348875,$66.0604,$68.8989,$65.2605
02/23/2021,$64.9766,9005313,$65.0282,$65.2863,$62.8606
02/22/2021,$64.5121,12079535,$62.2929,$65.5443,$62.0607
02/19/2021,$62.0349,7631125,$60.4866,$62.0865,$60.2801
02/18/2021,$60.0221,6106824,$61.1059,$61.2091,$59.4028
02/17/2021,$61.2091,5430363,$61.1059,$61.6736,$60.693
02/16/2021,$61.7768,7539000,$61.0027,$61.8284,$60.7962
02/12/2021,$60.5382,7304958,$58.8867,$60.5898,$58.7318
02/11/2021,$59.1447,6478650,$58.7834,$59.1963,$57.7513
02/10/2021,$58.8351,5694991,$59.8156,$59.8156,$58.7318
02/09/2021,$59.5576,6592281,$59.6608,$59.8673,$58.8867
02/08/2021,$59.9189,5306814,$59.1963,$60.1253,$58.8867
02/05/2021,$58.8351,6477298,$59.4028,$59.6092,$58.3964
02/04/2021,$59.0931,8345969,$57.9577,$59.3512,$57.7513
02/03/2021,$57.8029,6776854,$58.0093,$58.319,$57.1319
02/02/2021,$58.0093,10558231,$56.1514,$58.5512,$55.9449
02/01/2021,$55.4288,8335726,$56.0481,$56.7707,$54.9127
01/29/2021,$55.1192,13657350,$56.7707,$58.0036,$55.0675
01/28/2021,$57.2352,11762414,$58.8867,$59.1963,$57.1061
01/27/2021,$58.7318,18679988,$57.1835,$59.6608,$54.9127
01/26/2021,$58.2674,26475425,$62.0865,$63.1187,$57.8029
01/25/2021,$56.7191,11502619,$57.4932,$57.5448,$55.5836
01/22/2021,$57.3384,6614930,$56.6158,$57.6996,$56.2546
01/21/2021,$57.1319,8217769,$58.8351,$58.9899,$57.1319
01/20/2021,$58.7834,7376991,$59.3512,$59.3512,$58.319
01/19/2021,$58.9899,7937426,$59.2479,$60.1253,$58.8351
01/15/2021,$58.4738,9201193,$59.8673,$59.8673,$58.0609
